authorId,url,name,affiliations,homepage,paperCount,citationCount,hIndex,fake,institutionid
7381761,https://www.semanticscholar.org/author/7381761,C. Lillehei,[],,298,9771,49,0,5298
5720582,https://www.semanticscholar.org/author/5720582,N. Uslu,[],,38,743,12,0,7151
3693113,https://www.semanticscholar.org/author/3693113,Y. Usta,[],,28,328,9,0,7626
1400956521,https://www.semanticscholar.org/author/1400956521,İ. Saltık-Temizel,[],,63,473,13,0,2537
144600424,https://www.semanticscholar.org/author/144600424,H. Demir,[],,136,1199,19,0,7007
14815672,https://www.semanticscholar.org/author/14815672,F. Gürakan,[],,139,1647,21,0,2555
152370197,https://www.semanticscholar.org/author/152370197,H. Ozen,[],,104,1412,20,0,6882
80030123,https://www.semanticscholar.org/author/80030123,A. Yüce,[],,197,1971,23,0,2007
2580049,https://www.semanticscholar.org/author/2580049,A. DeTore,[],,18,1135,8,0,8601
46927726,https://www.semanticscholar.org/author/46927726,M. Ghislain,[],,44,1950,18,0,4521
50491375,https://www.semanticscholar.org/author/50491375,E. Talla,[],,133,6007,34,0,4829
41201382,https://www.semanticscholar.org/author/41201382,J. François,[],,6,562,3,0,6758
16744497,https://www.semanticscholar.org/author/16744497,L. Albizati,[],,3,34,2,0,7566
92321529,https://www.semanticscholar.org/author/92321529,J. Hedrick,[],,12,193,6,0,3074
7353537,https://www.semanticscholar.org/author/7353537,P. Hochstein,[],,128,12069,49,0,630
1704622,https://www.semanticscholar.org/author/1704622,Ashraf Aboulnaga,['Qatar Computing Research Institute'],https://ashraf.aboulnaga.me,103,4111,36,0,1726
144472889,https://www.semanticscholar.org/author/144472889,R. Ghasemi,[],,51,566,12,0,2843
24364031,https://www.semanticscholar.org/author/24364031,H. Ghasemi,[],,63,621,14,0,5140
22541746,https://www.semanticscholar.org/author/22541746,I. Hajkhodadadi,[],,32,127,7,0,6540
1412532819,https://www.semanticscholar.org/author/1412532819,M. Khodaei-Motlagh,[],,21,175,6,0,6862
2106628128,https://www.semanticscholar.org/author/2106628128,Zhenming Fu,[],,2,4,1,0,5532
2100534491,https://www.semanticscholar.org/author/2100534491,Guoqiang Su,[],,3,5,1,0,6057
3165658,https://www.semanticscholar.org/author/3165658,Haiming Yang,[],,61,402,13,0,1690
2112548793,https://www.semanticscholar.org/author/2112548793,Qingyun Sun,[],,7,13,2,0,7441
2106654022,https://www.semanticscholar.org/author/2106654022,Tao Zhong,[],,2,4,1,0,4144
48708283,https://www.semanticscholar.org/author/48708283,Zhiyue Wang,[],,60,498,14,0,6040
1799398854,https://www.semanticscholar.org/author/1799398854,Zhengke Wu,[],,11,59,4,0,7773
2108413111,https://www.semanticscholar.org/author/2108413111,Jiao Liu,[],,17,178,6,0,5635
81968309,https://www.semanticscholar.org/author/81968309,S. A. Pirzado,[],,20,58,4,0,7160
2154902304,https://www.semanticscholar.org/author/2154902304,Yang Li,[],,10,59,4,0,8009
16271610,https://www.semanticscholar.org/author/16271610,H. Cai,[],,44,490,14,0,4425
48573962,https://www.semanticscholar.org/author/48573962,Guohua Liu,[],,40,473,13,0,3156
2140353226,https://www.semanticscholar.org/author/2140353226,F. Bibi,[],,4,7,2,0,8014
4940876,https://www.semanticscholar.org/author/4940876,S. N. Qaisrani,[],,27,290,7,0,6971
121153372,https://www.semanticscholar.org/author/121153372,M. Akhtar,[],,116,1944,21,0,7499
1576372398,https://www.semanticscholar.org/author/1576372398,I. Ahmed,[],,7,17,2,0,1111
